               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10799,            0.041112,            0.040995,           0.0085632,             0.80187,            0.036471,           0.0081447,            0.051914,            0.019834,            0.024296,              0.0847,              0.0017,              0.0017
                   1,            0.083904,            0.049109,            0.038712,             0.22135,             0.21664,             0.18717,            0.052901,            0.043751,            0.018686,            0.024255,            0.068431,           0.0034307,           0.0034307
                   2,            0.070163,            0.045963,            0.036458,             0.15186,             0.39592,             0.15744,            0.052801,            0.042684,            0.020828,            0.022533,             0.05209,           0.0050901,           0.0050901
                   3,            0.065135,            0.042247,            0.034842,             0.23954,             0.53049,             0.24966,            0.075564,            0.046573,            0.015053,            0.023316,            0.035678,           0.0066783,           0.0066783
                   4,            0.061461,            0.038435,            0.033811,             0.41239,             0.71031,             0.57371,             0.19601,            0.043015,            0.014695,            0.021156,            0.019195,           0.0081951,           0.0081951
                   5,            0.060735,             0.03554,            0.032174,             0.48659,             0.80601,             0.65634,             0.33552,            0.040939,             0.01093,            0.019401,             0.00901,             0.00901,             0.00901
                   6,            0.057087,            0.033846,            0.031756,             0.52918,             0.86306,             0.77678,             0.36748,            0.031143,            0.010228,            0.017329,             0.00901,             0.00901,             0.00901
                   7,            0.055181,            0.033424,            0.030308,             0.71767,             0.89476,             0.80303,             0.37543,            0.035348,           0.0093115,            0.016904,            0.008812,            0.008812,            0.008812
                   8,            0.052523,            0.031734,            0.030053,             0.74074,             0.91911,             0.87845,             0.32267,            0.031472,           0.0094457,            0.014494,            0.008614,            0.008614,            0.008614
                   9,            0.047838,            0.030728,            0.027803,             0.59599,             0.90629,             0.73078,             0.30979,            0.029172,           0.0086598,            0.012653,            0.008416,            0.008416,            0.008416
                  10,            0.047283,            0.031555,            0.025425,              0.7851,             0.91322,             0.84522,             0.48522,            0.029848,           0.0084908,            0.012199,            0.008218,            0.008218,            0.008218
                  11,            0.046577,            0.029874,            0.023899,             0.75405,             0.91325,             0.91234,             0.43947,            0.029672,           0.0080365,            0.011879,             0.00802,             0.00802,             0.00802
                  12,            0.046486,            0.029751,            0.022258,             0.61157,             0.89538,             0.76065,             0.38537,            0.029043,           0.0081784,            0.011823,            0.007822,            0.007822,            0.007822
                  13,            0.043926,            0.029549,            0.021042,             0.86983,             0.97161,             0.94453,             0.55647,            0.024814,           0.0075571,            0.011283,            0.007624,            0.007624,            0.007624
                  14,            0.043376,            0.027932,            0.019852,             0.74452,             0.83046,             0.78281,             0.45242,            0.025464,           0.0075172,            0.010995,            0.007426,            0.007426,            0.007426
                  15,             0.04227,            0.027563,            0.018367,             0.72219,             0.91808,              0.8429,             0.46149,            0.025761,            0.007567,            0.010868,            0.007228,            0.007228,            0.007228
                  16,            0.041101,            0.027788,            0.017731,             0.88457,             0.98563,             0.96423,             0.53477,            0.024846,           0.0074633,            0.010748,             0.00703,             0.00703,             0.00703
                  17,            0.041562,            0.027465,            0.016693,             0.85745,             0.98998,             0.93755,             0.54703,            0.026984,           0.0070252,            0.010742,            0.006832,            0.006832,            0.006832
                  18,            0.039688,            0.026357,            0.015143,             0.84976,             0.99148,             0.96839,             0.61921,             0.02417,           0.0071033,            0.011173,            0.006634,            0.006634,            0.006634
                  19,            0.039236,            0.027219,            0.015193,             0.85759,             0.99816,             0.96951,             0.64411,            0.022884,           0.0071109,            0.010515,            0.006436,            0.006436,            0.006436
                  20,            0.039572,            0.026995,            0.014263,              0.8975,             0.96045,             0.97064,             0.63794,            0.023904,           0.0073351,            0.010585,            0.006238,            0.006238,            0.006238
                  21,            0.038379,            0.026132,            0.013906,             0.82251,              0.9558,             0.94568,             0.59066,            0.022666,           0.0072508,            0.011005,             0.00604,             0.00604,             0.00604
                  22,            0.038246,            0.025867,            0.012813,             0.80213,             0.98457,             0.94056,             0.61234,            0.023033,           0.0070993,            0.010844,            0.005842,            0.005842,            0.005842
                  23,            0.037023,             0.02762,            0.012398,             0.81318,             0.99024,             0.95095,             0.61254,            0.023147,           0.0070147,            0.010526,            0.005644,            0.005644,            0.005644
                  24,             0.03777,            0.026395,            0.012152,             0.88852,              0.9887,             0.96889,             0.60329,            0.022491,           0.0071664,             0.01051,            0.005446,            0.005446,            0.005446
                  25,            0.036223,            0.025839,            0.011421,             0.89622,              0.9943,             0.97826,             0.65305,            0.022601,           0.0071443,            0.010537,            0.005248,            0.005248,            0.005248
                  26,            0.036552,            0.024917,            0.011408,             0.89721,              0.9943,             0.98084,             0.66049,            0.023591,            0.007201,            0.010328,             0.00505,             0.00505,             0.00505
                  27,            0.036181,            0.024148,            0.010595,             0.87238,             0.99718,             0.97976,             0.67665,            0.022474,           0.0068562,            0.010474,            0.004852,            0.004852,            0.004852
                  28,            0.035399,            0.024405,            0.010698,             0.86458,             0.99664,             0.97599,             0.66088,            0.021756,           0.0070163,            0.010229,            0.004654,            0.004654,            0.004654
                  29,            0.034387,             0.02515,            0.011616,             0.86034,             0.98305,             0.95477,             0.62568,            0.021518,           0.0070495,            0.010554,            0.004456,            0.004456,            0.004456
                  30,            0.035255,            0.025785,            0.010465,             0.88344,             0.99199,             0.97968,             0.62974,            0.022063,           0.0070359,            0.010475,            0.004258,            0.004258,            0.004258
                  31,            0.035414,            0.025337,            0.010456,             0.86412,             0.99153,             0.97991,             0.69214,             0.02168,           0.0067289,            0.010448,             0.00406,             0.00406,             0.00406
                  32,            0.033846,            0.024381,            0.010339,             0.87881,             0.99435,             0.97891,             0.71263,            0.022069,           0.0068146,            0.010055,            0.003862,            0.003862,            0.003862
                  33,            0.033076,            0.023726,            0.010689,             0.89389,             0.99942,             0.97731,             0.73005,            0.021895,            0.006748,            0.010105,            0.003664,            0.003664,            0.003664
                  34,            0.033969,            0.024548,            0.010142,             0.88152,             0.99718,             0.97789,             0.71324,             0.02175,           0.0066677,            0.010273,            0.003466,            0.003466,            0.003466
                  35,            0.033035,            0.025428,           0.0097415,             0.84116,             0.99169,             0.97529,             0.71372,            0.021533,           0.0067421,            0.010534,            0.003268,            0.003268,            0.003268
                  36,            0.033429,            0.024702,           0.0092169,             0.88396,             0.99493,             0.97498,             0.70965,            0.021984,           0.0067929,            0.010295,             0.00307,             0.00307,             0.00307
                  37,            0.032856,            0.024922,           0.0087032,             0.92774,             0.99153,             0.97544,             0.70186,            0.021229,           0.0068875,            0.010008,            0.002872,            0.002872,            0.002872
                  38,            0.031689,            0.025507,            0.009416,             0.85694,             0.99435,             0.97587,             0.70275,            0.020834,           0.0068444,            0.010232,            0.002674,            0.002674,            0.002674
                  39,            0.031909,             0.02443,           0.0092788,             0.84648,             0.99718,             0.97345,             0.68689,            0.020605,           0.0068127,            0.010618,            0.002476,            0.002476,            0.002476
                  40,            0.031596,            0.023304,           0.0092925,             0.86292,             0.99435,             0.97649,             0.71732,             0.02058,           0.0068323,            0.010135,            0.002278,            0.002278,            0.002278
                  41,            0.030901,            0.024311,           0.0091635,             0.91424,             0.99414,             0.97693,             0.72175,            0.020452,            0.006649,                0.01,             0.00208,             0.00208,             0.00208
                  42,            0.030626,            0.023167,           0.0090059,             0.88084,             0.99718,              0.9784,             0.72911,            0.020848,           0.0066236,           0.0099615,            0.001882,            0.001882,            0.001882
                  43,            0.030223,             0.02314,           0.0086494,             0.92165,             0.99321,             0.97624,             0.75179,             0.02038,           0.0065792,            0.009803,            0.001684,            0.001684,            0.001684
                  44,            0.030908,            0.022851,           0.0092611,               0.932,             0.99069,             0.97883,             0.76517,            0.020443,           0.0065686,           0.0098122,            0.001486,            0.001486,            0.001486
                  45,            0.029949,            0.023205,           0.0084568,              0.9236,             0.99153,             0.97359,             0.75716,            0.020238,           0.0066028,           0.0098476,            0.001288,            0.001288,            0.001288
                  46,            0.030675,            0.024069,           0.0088836,             0.88807,             0.99718,             0.97704,             0.76301,            0.020024,           0.0066116,           0.0098677,             0.00109,             0.00109,             0.00109
                  47,             0.03046,            0.022463,           0.0089591,             0.87718,             0.99718,             0.97701,             0.76876,            0.019903,           0.0065156,           0.0097933,            0.000892,            0.000892,            0.000892
                  48,            0.029939,            0.023234,           0.0083095,             0.89511,             0.99382,             0.97481,             0.76778,            0.020019,           0.0065265,           0.0097721,            0.000694,            0.000694,            0.000694
                  49,            0.030043,            0.024437,           0.0089175,             0.88721,             0.99718,             0.97655,             0.76649,             0.01993,            0.006526,            0.009775,            0.000496,            0.000496,            0.000496
